latitude,longitude
32.7292142,-117.2062072
32.7894887,-116.9688066
32.7290181,-117.2049079
32.8334297,-116.933021
32.7196925,-117.2318422
32.7253191,-117.2223575
32.7341392,-117.1780505
33.1435057,-117.0896686
33.1924011,-117.3777645
32.689596,-117.1716699
32.6967107,-117.1683504
33.0480929,-117.284576
32.7724089,-117.0721026
32.7274023,-117.0362361
32.8058108,-116.9733413
32.7892084,-116.9298387
33.126132,-117.1681124
32.7927209,-116.9536878
32.7976963,-116.9554962
33.1531307,-117.0695504
32.800179,-116.9445186
32.800179,-116.9445186
33.1244499,-117.0919739
32.800179,-116.9445186
32.795243,-116.95222
33.1289189,-117.1182399
32.8006712,-116.9716321
32.7843568,-116.9536777
32.7843568,-116.9536777
32.7906352,-117.0216144
33.3653399,-117.0767358
32.7913333,-116.9732925
32.8077646,-116.9597733
32.77776619999999,-117.0094676
32.7148898,-117.017639
32.988311,-117.177722
33.1287154,-117.08461
33.0711084,-117.0662939
32.7212025,-117.0423429
32.5765696,-117.1106461
32.7341471,-117.0395204
33.1394209,-117.0693302
32.7980632,-116.9362665
33.1326773,-117.0532598
33.1306769,-117.0540861
32.8147757,-117.0512292
33.1817572,-117.3125147
32.6847719,-117.0234554
33.1333066,-117.0519188
33.1298569,-117.0684491
33.144995,-117.0393347
33.1263125,-117.0684702
33.102459,-117.0650333
33.1243819,-117.0750503
33.1811566,-117.2285621
33.2175238,-117.3079407
33.13629239999999,-117.0787415
33.1264177,-117.0505339
33.1326773,-117.0532598
33.1369303,-117.041118
32.7424402,-117.0513009
32.9850897,-117.2556775
33.2733762,-117.2903121
33.1980545,-117.2877863
33.195547,-117.356772
32.7965135,-117.2476792
32.7827637,-117.2353348
33.1917689,-117.3788408
33.1972816,-117.3750192
33.179149,-117.3707101
33.229108,-117.3117709
32.7307477,-117.2345769
32.7672002,-117.0564078
32.7514396,-117.099813
33.2016122,-117.3424342
33.1715317,-117.2664255
32.6032902,-117.0787216
32.7518128,-117.0699778
32.7942137,-117.2430584
32.796161,-117.1250321
33.2121765,-117.3363152
32.7531408,-117.2032393
32.7850151,-117.0998314
32.7136328,-117.160169
32.7125786,-117.1592152
32.7571003,-117.0946987
32.7366037,-117.1630676
32.7779534,-117.0075778
32.7795012,-117.0399433
32.7907603,-117.0827141
32.7702949,-117.1882813
32.6341252,-117.0909573
32.7937744,-117.177457
32.7074406,-117.1519053
32.6265946,-117.1014524
32.753336,-117.1200927
32.7062869,-117.1534331
32.7957,-117.2454387
32.7767115,-117.1761979
32.710445,-117.1582822
32.7696161,-117.1702256
32.7418126,-117.1799528
32.8885958,-117.1448174
32.7125732,-117.1601485
32.7409435,-117.1024115
32.6302923,-117.0851966
32.7558979,-117.2167929
32.7713532,-117.1295335
32.5957658,-117.0269948
32.8346597,-117.1771352
32.7758323,-117.0450335
32.7179004,-117.1424875
32.7660842,-117.1816638
32.7149402,-117.1615793
32.711697,-117.16042
32.7042305,-117.1497461
32.7026749,-117.0488092
32.6834978,-117.0499595
32.7531916,-117.1019355
32.9628966,-117.2365649
32.7605079,-117.0687279
32.7015998,-117.0991631
32.8036509,-117.2379545
32.7530985,-117.2071541
32.7433439,-117.1615534
32.7073375,-117.1488178
32.9096024,-117.1829988
32.6640178,-117.0981148
32.74324,-117.1812154
32.8020197,-117.2586202
32.71497910000001,-117.1614861
32.7605873,-117.0641067
32.773053,-117.2529628
32.6611981,-117.0608249
32.9122015,-117.1635832
33.0050084,-117.0947051
32.7763262,-117.1535471
32.7696161,-117.1702256
32.9193606,-117.2244687
32.7708925,-117.1561553
32.7553628,-117.1462507
32.8125005,-117.2683427
32.9373651,-117.0997319
32.7857787,-117.0564758
32.7316499,-117.0997726
32.7936813,-117.2545844
32.721713,-117.0959255
32.7009955,-117.0313393
32.9148471,-117.225492
32.768772,-117.0803229
32.806026,-117.209106
32.6866859,-117.1037703
32.79994569999999,-117.2129075
32.7450872,-117.1437126
32.7192762,-117.0905144
32.9063459,-117.1469131
32.8277702,-117.2060496
32.7782679,-117.2531989
33.1800323,-117.3264582
32.718769,-117.0935569
32.7022062,-117.1338318
32.7157824,-117.1607255
32.8867337,-117.2259202
32.7968581,-117.2552518
33.1234343,-117.306019
32.8614071,-117.2342451
32.746172,-117.0517231
32.8331604,-117.2177917
33.1327473,-117.3118966
32.5614725,-117.0754215
32.6562953,-117.0986137
32.6551999,-116.9677422
32.7910942,-117.0074771
32.7457779,-117.1368044
32.7396495,-117.0592811
32.746172,-117.0517231
32.7502972,-117.0519934
32.7671066,-117.1486658
32.7120195,-117.1650976
32.701329,-117.0608663
32.7915756,-117.2553863
32.6680307,-117.1039347
32.8241361,-116.9334842
32.7325371,-117.0100266
32.9641977,-117.0361383
32.8313041,-116.9776311
32.8033093,-117.2203575
32.7229942,-117.1691775
32.7522278,-117.1351325
32.7671066,-117.1486658
32.7220743,-117.2286273
32.7608375,-117.0325676
32.657893,-117.0663
33.1635895,-117.3499899
32.70943510000001,-117.1503537
32.6767472,-117.0954658
32.6772215,-117.0941303
32.6895268,-117.0851067
32.7194114,-117.0756304
32.965318,-117.1811922
33.1103937,-117.3161195
33.1165455,-117.3020768
33.1236463,-117.3205879
32.7443439,-117.1449402
33.0884334,-116.9828546
32.8396554,-116.9830776
32.7906352,-117.0216144
32.7725792,-117.0438889
32.7925664,-117.0035188
32.7642281,-117.0467874
33.1705545,-117.2203478
33.1705545,-117.2203478
33.1928026,-117.2509532
33.1428202,-117.1630833
33.1503162,-117.3403847
33.0772132,-117.267979
33.1520349,-117.3366667
33.1236463,-117.3205879
33.1234343,-117.306019
33.1800323,-117.3264582
33.1311071,-117.3283438
32.7450872,-117.1437126
32.7496516,-117.1598043
32.8001735,-117.2526862
32.7219928,-117.1583863
32.7478684,-117.115603
33.1661955,-117.2152662
33.0472777,-117.2805939
32.7427596,-117.0321406
32.66860200000001,-117.076088
32.9600856,-117.0405047
32.9935236,-117.0267611
33.1920697,-117.2330623
33.2046287,-117.2344886
32.6099151,-117.0816743
32.7219928,-117.1583863
33.1411894,-117.1231603
32.6067597,-117.0800624
32.7298791,-116.8274652
33.2184513,-117.2267783
32.8440535,-116.8804467
33.2157602,-117.2273206
32.5901103,-116.9210627
32.7292938,-117.1602572
32.6099151,-117.0816743
33.0620782,-117.272087
33.0362532,-117.2808668
32.7129592,-117.1652608
33.0292855,-117.1125592
